name,Computer_and_electronic_product_manufacturing,Transportation_and_warehousing,Transit_and_ground_passenger_transportation,Real_estate_and_rental_and_leasing,"Educational_services_and_health_care,_and_social_assistance"
Alabama,999.7,6962.3,79.5,28542.8,20283.9
Alaska,21.4,7826.5,106.5,5616.6,4967.1
Arizona,11631,12408.4,712.7,62077.7,40087.7
Arkansas,284.3,6266,64.3,15105.4,13423.4
California,148452.6,93492.6,12156.8,424833.4,256456.5
Colorado,5995.9,12650.3,474.1,63705,30391.5
Connecticut,2052.5,6024.7,809.3,39606.3,31734.7
Delaware,539.6,1523.6,96.6,13969.3,6534.7
District_of_Columbia,68.6,460.1,129.9,11952.9,11858.3
Florida,8258.3,37219.8,791,226541.2,114920.2
Georgia,1757,23102.5,309.5,94114.1,51906.8
Hawaii,49.7,3411.2,244.2,15961.9,8150.3
Idaho,2118.7,2764.6,85.4,12856.3,8621.4
Illinois,7514.3,34683,1907.8,115645.8,81324.8
Indiana,1953.5,15104,259.7,41501,39317.6
Iowa,1951.4,6879.7,108.2,19944.3,15435.8
Kansas,958.5,7414.7,155,24846.3,15556.5
Kentucky,778.2,12048,117.5,25046.1,23079.6
Louisiana,514.2,8677.7,207.5,30070.7,23624.7
Maine,561.5,1557.7,107,12237.3,10031.6
Maryland,6220.8,9277.6,826.9,63305,40311.7
Massachusetts,16003.7,9975.2,2025.7,80109.4,76901.7
Michigan,2953.2,15108.1,454.2,74972.7,52286.2
Minnesota,8626.7,11071.5,771.2,47242.9,43819.6
Mississippi,161.3,5093,60.1,14028.7,10396.8
Missouri,2100.5,11587.5,372,40067.9,36772.2
Montana,116.8,2358.3,60.4,8094.1,6347.8
Nebraska,551.3,9493.5,78,13630.1,11695
Nevada,523.1,7340.9,495.8,27864.9,13374.8
New_Hampshire,2343.7,1440.9,152.2,13638.1,10995.2
New_Jersey,5925.8,22997.9,1690.8,102256.4,63554
New_Mexico,1098.2,2876.2,78.8,12678.7,9034.5
New_York,9156.7,32208.3,8919.5,238482.2,175825.5
North_Carolina,11054.2,15373.1,314.3,74013.6,52257.6
North_Dakota,160.4,2675.7,51.3,5593.8,5436.1
Ohio,2543.6,25787.1,519.9,79741.5,70490.2
Oklahoma,691.2,12551.4,59.5,21953.5,16858.9
Oregon,14648.7,7425.3,475.4,38360.2,25870.9
Pennsylvania,5889.9,31628.2,1666,99794.7,104192.2
Rhode_Island,567.4,1024.7,161.8,8924.1,8693.4
South_Carolina,1332.5,6608.2,104.7,37741.6,19209.8
South_Dakota,186.5,1290.7,48.9,5336.1,6411.8
Tennessee,1172.2,20147,375.6,47600.3,44433.5
Texas,29304.1,68502.7,896,242824,136974.5
Utah,2664.4,6620.4,206,26924.8,15255.9
Vermont,774.1,593,66.5,5148.4,4927.8
Virginia,2526.1,13922,674.9,77230.3,44026.8
Washington,4842.6,15632.9,1099.4,80746,43109
West_Virginia,62.8,2270.2,24.2,8812.7,9547
Wisconsin,3341.6,11027.5,1183,41056.5,36818.2
Wyoming,28.4,3852.5,23.8,4310.4,2017